CBO before,CBO after,,WMC before,WMC after,,DIT before,DIT after,,NOC before,NOC after,,LCOM5 before,LCOM5 after,,CC before,CC after,,loc before,loc after,,LLOC before,LLOC after,,RFC before,RFC after,,CLOC before,CLOC after,,NOA before,NOA after,,NPM before,NPM after
4,1,,17,10,,4,5,,2,1,,1,1,,0,0,,38,10,,27,8,,26,6,,10,1,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,0,0,,38,10,,27,8,,26,9,,10,1,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,0,0,,38,10,,27,8,,26,9,,10,1,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0.595092,0,,63,10,,50,8,,26,9,,2,1,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.595092,0,,63,10,,50,8,,26,4,,2,1,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.595092,0,,63,10,,50,8,,26,4,,2,1,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0.595092,0,,63,10,,50,8,,26,9,,2,1,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.595092,0,,63,10,,50,8,,26,4,,2,1,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0.835616,0,,57,10,,47,8,,26,9,,7,1,,4,5,,10,10
6,8,,13,8,,1,2,,3,3,,10,7,,0.835616,0,,57,10,,47,8,,13,9,,7,1,,1,3,,13,24
6,12,,13,30,,1,2,,3,11,,10,8,,0.835616,0,,57,10,,47,8,,13,28,,7,1,,1,3,,13,36
6,4,,13,8,,1,2,,3,5,,10,0,,0.835616,0,,57,10,,47,8,,13,5,,7,1,,1,3,,13,17
6,8,,13,8,,1,2,,3,3,,10,7,,0.835616,0,,57,10,,47,8,,13,9,,7,1,,1,3,,13,24
6,12,,13,30,,1,2,,3,11,,10,8,,0,0,,18,10,,15,8,,13,28,,3,1,,1,3,,13,36
6,4,,13,8,,1,2,,3,5,,10,0,,0,0,,18,10,,15,8,,13,5,,3,1,,1,3,,13,17
6,8,,13,8,,1,2,,3,3,,10,7,,0,0,,18,10,,15,8,,13,9,,3,1,,1,3,,13,24
6,12,,13,30,,1,2,,3,11,,10,8,,0,0,,18,10,,15,8,,13,28,,3,1,,1,3,,13,36
6,4,,13,8,,1,2,,3,5,,10,0,,0,0,,18,10,,15,8,,13,5,,3,1,,1,3,,13,17
4,5,,2,6,,0,1,,2,0,,1,1,,0.651786,0,,37,10,,29,8,,6,6,,3,1,,0,1,,0,3
4,7,,2,9,,0,1,,2,0,,1,1,,0.651786,0,,37,10,,29,8,,6,10,,3,1,,0,1,,0,3
4,5,,2,6,,0,1,,2,0,,1,1,,0.651786,0,,37,10,,29,8,,6,6,,3,1,,0,1,,0,3
4,7,,2,9,,0,1,,2,0,,1,1,,0.651786,0,,37,10,,29,8,,6,10,,3,1,,0,1,,0,3
7,3,,3,1,,2,3,,3,0,,1,0,,0.651786,0,,37,10,,29,8,,3,1,,3,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0,,18,18,,17,17,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,18,42,,17,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,0.875676,,18,42,,17,29,,3,1,,0,1,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,18,31,,17,31,,3,1,,0,0,,3,4,,19,19
7,3,,3,1,,2,3,,3,0,,1,0,,0,1,,18,31,,17,31,,3,1,,0,0,,3,4,,19,19
